01-11,Obidos
01-13,Cadaval
01-13,Santa Maria de Penaguião
01-13,Viana do Alentejo
01-13,Vila Nova de Poiares
01-14,Elvas
01-15,Santa Cruz
01-20,Santa Maria da Feira
01-22,São Vicente
01-22,Vila do Bispo
02-02,Mourão
02-10,Aguiar da Beira
02-18,Valença
03-01,Tomar
03-02,Vila Nova de Paiva
03-04,Manteigas
03-05,Ferreira do Alentejo
03-08,Montemor-o-Novo
03-12,Monção
03-19,Póvoa de Lanhoso
03-19,Santarém
03-19,Torre de Moncorvo
03-19,Vizela
04-02,Alpiarça
04-06,Fronteira
04-11,Lagoa
04-23,Velas
04-26,Belmonte
05-02,Arouca
05-03,Barcelos
05-03,Sernancelhe
05-04,Sesimbra
05-08,Murça
05-12,Aveiro
05-13,Vila Real de Santo António
05-14,Vouzela
05-15,Caldas da Rainha
05-16,Fafe
05-20,Vinhais
05-21,Vila Nova de Foz Côa
05-22,Leiria
05-23,Celorico da Beira
05-23,Portalgre
05-25,Mirandela
05-25,Santana
05-29,Trancoso
06-01,Palmela
06-01,Miranda do Corvo
06-01,São Brás de Alportel
06-07,Oeiras
06-09,Montalegre
06-13,Aljustrel
06-13,Alvaiázere
06-13,Amares
06-13,Cascais
06-13,Estarreja
06-13,Ferreira do Zêzere
06-13,Lisboa
06-13,Proença-a-Nova
06-13,Reguengos de Monsaraz
06-13,Vale de Cambra
06-13,Vila Nova da Barquinha
06-13,Vila Nova de Famalicão
06-13,Vila Real
06-13,Vila Verde
06-14,Abrantes
06-16,Espinho
06-16,Olhão
06-17,Castanheira de Pera
06-20,Corvo
06-20,Ourém
06-22,Vila Pouca de Aguiar
06-24,Alcácer do Sal
06-24,Alcochete
06-24,Almodôvar
06-24,Angra do Heroismo
06-24,Armamar
06-24,Arronches
06-24,Braga
06-24,Calheta
06-24,Castelo de Paiva
06-24,Castro Marim
06-24,Cinfães
06-24,Figueira da Foz
06-24,Figueiró dos Vinhos
06-24,Guimarães
06-24,Horta
06-24,Lourinhã
06-24,Lousã
06-24,Mértola
06-24,Moimenta da Beira
06-24,Moura
06-24,Nelas
06-24,Porto
06-24,Porto Santo
06-24,Santa Cruz das Flores
06-24,São João da Pesqueira
06-24,Sertã
06-24,Tabuaço
06-24,Tavira
06-24,Valongo
06-24,Vila de Conde
06-24,Vila do Porto
06-24,Vila Franca do Campo
06-24,Vila Nova de Gaia
06-28,Barreiro
06-29,Alfândega da Fé
06-29,Bombarral
06-29,Castro Daire
06-29,Castro Verde
06-29,Évora
06-29,Felgueiras
06-29,Lajes do Pico
06-29,Macedo de Cavaleiros
06-29,Montijo
06-29,Penedono
06-29,Porto de Mós
06-29,Póvoa de Varzim
06-29,Ribeira Brava
06-29,Ribeira Grande
06-29,São Pedro do Sul
06-29,Seixal
06-29,Sintra
07-02,Almeida
07-03,Seia
07-04,Castenheira de Pera
07-04,Coimbra
07-07,Figueira de Castelo Rodrigo
07-08,Amarante
07-08,Chaves
07-10,Miranda do Douro
07-11,Arcos de Valdevez
07-11,Santo Tirso
07-17,Paredes
07-17,Penacova
07-18,Nordeste
07-22,Madalena
07-22,Porto Moniz
07-22,Condeixa-a-Nova
07-22,Pedrógão Grande
07-25,Cantanhede
07-25,Celourico de Basto
07-25,Mira
07-25,Mondim de Basto
07-25,Ovar
07-25,Santiago do Cacém
07-26,Loures
08-10,Paredes de Coura
08-10,Vimioso
08-11,Praia da Viória
08-13,Góis
08-14,Batalha
08-16,Peso da Régua
08-14,Ribeira de Pena
08-14,São Roque do Pico
08-14,Vila Viçosa
08-17,Coruche
08-19,Esposende
08-20,Albufeira
08-20,Alcobaça
08-20,Sátão
08-20,Viana do Castelo
08-20,Albergaria-a-Velha
08-21,Funchal
08-22,Bragança
08-24,Baião
08-24,Ponte da Barca
08-24,Vila Flor
08-25,Penalva do Castelo
08-25,Pinhel
08-28,Barrancos
08-29,Aljezur
09-03,Silves
09-07,Arganil
09-07,Faro
09-07,Vendas Novas
09-08,Alcoutim
09-08,Lagoa
09-08,Lamego
09-08,Mangualde
09-08,Marco de Canaveses
09-08,Marvão
09-08,Montemor-o-Velho
09-08,Murtosa
09-08,Nazaré
09-08,Odemira
09-08,Ourique
09-08,Ponta de Sol
09-08,Sabrosa
09-11,Amadora
09-15,Fundão
09-15,Setúbal
09-16,Tondela
09-19,Vila de Rei
09-20,Ponte de Lima
09-21,Sever do Vouga
09-21,Soure
09-21,Viseu
09-22,Sardoal
09-29,Cabeceiras de Basto
09-29,Fornos de Algodres
09-29,Penela
09-29,Resende
09-29,Tarouca
10-01,Vila Nova de Cerveira
10-07,Oliveira de Frades
10-07,Oliveira do Hospital
10-09,Machico
10-11,São João da Madeira
10-15,Mogadouro
10-16,Câmara de Lobos
10-20,Covilhã
10-20,Terras de Bouro
10-22,Grândola
10-27,Lagos
11-06,Boticas
11-06,Paços de Ferreira
11-06,Rio Maior
11-06,Valpaços
11-11,Alijó
11-11,Mêda
11-11,Penafiel
11-11,Pombal
11-11,Torres Vedras
11-19,Odivelas
11-19,Trofa
11-23,Gavião
11-24,Entroncamento
11-24,Sines
11-25,Calheta
11-27,Guarda
11-30,Mesão Frio
12-11,Portimão
12-26,Madeira
12-26,Calheta
12-26,Câmara de Lobos
12-26,Funchal
12-26,Machico
12-26,Ponta do Sol
12-26,Porto Moniz
12-26,Porto Santo
12-26,Ribeira Brava
12-26,Santa Cruz
12-26,Santana
12-26,São Vicente
